Timestamp,Operation,Position,Beats,Total Beats
2024-12-02 10:35:23,"('Store', 1)","(np.int64(0), np.int64(53), np.int64(40))",55,55
2024-12-02 10:35:23,"('Store', 2)","(np.int64(1), np.int64(53), np.int64(40))",109,164
2024-12-02 10:35:23,"('Store', 3)","(np.int64(0), np.int64(53), np.int64(39))",54,273
2024-12-02 10:35:23,"('Store', 4)","(np.int64(0), np.int64(52), np.int64(40))",-112,380
2024-12-02 10:35:23,"('Retrieve', 4)","(np.int64(0), np.int64(52), np.int64(40))",-438,434
2024-12-02 10:35:24,"('Retrieve', 2)","(np.int64(1), np.int64(53), np.int64(40))",-762,544
2024-12-02 10:35:24,"('Store', 4)","(np.int64(1), np.int64(53), np.int64(40))",-1250,600
2024-12-02 10:35:24,"('Store', 5)","(np.int64(0), np.int64(52), np.int64(40))",-1742,708
2024-12-02 10:35:24,"('Retrieve', 4)","(np.int64(1), np.int64(53), np.int64(40))",-2392,766
2024-12-02 10:35:24,"('Store', 6)","(np.int64(1), np.int64(53), np.int64(40))",-3102,822
2024-12-02 10:35:24,"('Store', 7)","(np.int64(0), np.int64(54), np.int64(40))",-3814,932
2024-12-02 10:35:24,"('Store', 8)","(np.int64(0), np.int64(53), np.int64(41))",-4637,1041
2024-12-02 10:35:24,"('Store', 9)","(np.int64(1), np.int64(53), np.int64(39))",-5569,1150
2024-12-02 10:35:24,"('Retrieve', 9)","(np.int64(1), np.int64(53), np.int64(39))",-6663,1206
2024-12-02 10:35:24,"('Retrieve', 7)","(np.int64(0), np.int64(54), np.int64(40))",-7759,1316
2024-12-02 10:35:25,"('Store', 9)","(np.int64(0), np.int64(54), np.int64(40))",-9019,1372
2024-12-02 10:35:25,"('Store', 10)","(np.int64(1), np.int64(53), np.int64(39))",-10281,1482
2024-12-02 10:35:25,"('Retrieve', 6)","(np.int64(1), np.int64(53), np.int64(40))",-11706,1539
2024-12-02 10:35:25,"('Store', 11)","(np.int64(1), np.int64(53), np.int64(40))",-13189,1595
2024-12-02 10:35:25,"('Retrieve', 5)","(np.int64(0), np.int64(52), np.int64(40))",-14728,1651
2024-12-02 10:35:25,"('Store', 12)","(np.int64(0), np.int64(52), np.int64(40))",-16325,1705
2024-12-02 10:35:25,"('Store', 13)","(np.int64(1), np.int64(52), np.int64(40))",-17923,1812
2024-12-02 10:35:25,"('Retrieve', 3)","(np.int64(0), np.int64(53), np.int64(39))",-19678,1869
2024-12-02 10:35:25,"('Store', 14)","(np.int64(0), np.int64(53), np.int64(39))",-21492,1924
2024-12-02 10:35:25,"('Retrieve', 10)","(np.int64(1), np.int64(53), np.int64(39))",-23359,1981
2024-12-02 10:35:26,"('Store', 15)","(np.int64(1), np.int64(53), np.int64(39))",-25284,2037
2024-12-02 10:35:26,"('Retrieve', 1)","(np.int64(0), np.int64(53), np.int64(40))",-27264,2094
2024-12-02 10:35:26,"('Store', 16)","(np.int64(0), np.int64(53), np.int64(40))",-29303,2149
2024-12-02 10:35:26,"('Store', 17)","(np.int64(1), np.int64(54), np.int64(40))",-31342,2259
2024-12-02 10:35:26,"('Retrieve', 9)","(np.int64(0), np.int64(54), np.int64(40))",-33544,2316
2024-12-02 10:35:26,"('Store', 18)","(np.int64(0), np.int64(54), np.int64(40))",-35804,2372
2024-12-02 10:35:26,"('Store', 19)","(np.int64(1), np.int64(53), np.int64(41))",-38066,2482
2024-12-02 10:35:26,"('Retrieve', 8)","(np.int64(0), np.int64(53), np.int64(41))",-40492,2538
2024-12-02 10:35:26,"('Store', 20)","(np.int64(0), np.int64(53), np.int64(41))",-42975,2593
2024-12-02 10:35:26,"('Store', 21)","(np.int64(0), np.int64(52), np.int64(39))",-45461,2700
2024-12-02 10:35:27,"('Store', 22)","(np.int64(0), np.int64(54), np.int64(39))",-48053,2808
2024-12-02 10:35:27,"('Store', 23)","(np.int64(0), np.int64(52), np.int64(41))",-50753,2916
2024-12-02 10:35:27,"('Retrieve', 14)","(np.int64(0), np.int64(53), np.int64(39))",-53612,2973
2024-12-02 10:35:27,"('Store', 24)","(np.int64(0), np.int64(53), np.int64(39))",-56530,3028
2024-12-02 10:35:27,"('Store', 25)","(np.int64(0), np.int64(54), np.int64(41))",-59449,3137
2024-12-02 10:35:27,"('Retrieve', 20)","(np.int64(0), np.int64(53), np.int64(41))",-62530,3193
2024-12-02 10:35:27,"('Store', 26)","(np.int64(0), np.int64(53), np.int64(41))",-65668,3248
2024-12-02 10:35:27,"('Retrieve', 26)","(np.int64(0), np.int64(53), np.int64(41))",-68861,3303
2024-12-02 10:35:27,"('Retrieve', 24)","(np.int64(0), np.int64(53), np.int64(39))",-72056,3411
2024-12-02 10:35:27,"('Store', 26)","(np.int64(0), np.int64(53), np.int64(39))",-75412,3466
2024-12-02 10:35:28,"('Store', 27)","(np.int64(0), np.int64(53), np.int64(41))",-78770,3574
2024-12-02 10:35:28,"('Store', 28)","(np.int64(1), np.int64(52), np.int64(39))",-82236,3682
2024-12-02 10:35:28,"('Store', 29)","(np.int64(1), np.int64(54), np.int64(39))",-85808,3792
2024-12-02 10:35:28,"('Retrieve', 11)","(np.int64(1), np.int64(53), np.int64(40))",-89543,3849
2024-12-02 10:35:28,"('Store', 30)","(np.int64(1), np.int64(53), np.int64(40))",-93336,3905
2024-12-02 10:35:28,"('Store', 31)","(np.int64(1), np.int64(52), np.int64(41))",-97132,4014
2024-12-02 10:35:28,"('Retrieve', 23)","(np.int64(0), np.int64(52), np.int64(41))",-101091,4069
2024-12-02 10:35:28,"('Store', 32)","(np.int64(0), np.int64(52), np.int64(41))",-105106,4123
2024-12-02 10:35:28,"('Retrieve', 32)","(np.int64(0), np.int64(52), np.int64(41))",-109175,4177
2024-12-02 10:35:29,"('Store', 32)","(np.int64(0), np.int64(52), np.int64(41))",-113298,4231
2024-12-02 10:35:29,"('Store', 33)","(np.int64(1), np.int64(54), np.int64(41))",-117420,4340
2024-12-02 10:35:29,"('Store', 34)","(np.int64(0), np.int64(53), np.int64(38))",-121650,4450
2024-12-02 10:35:29,"('Retrieve', 22)","(np.int64(0), np.int64(54), np.int64(39))",-126043,4507
2024-12-02 10:35:29,"('Store', 35)","(np.int64(0), np.int64(54), np.int64(39))",-130494,4563
2024-12-02 10:35:29,"('Store', 36)","(np.int64(0), np.int64(51), np.int64(40))",-134950,4670
2024-12-02 10:35:29,"('Retrieve', 27)","(np.int64(0), np.int64(53), np.int64(41))",-139563,4727
2024-12-02 10:35:29,"('Retrieve', 18)","(np.int64(0), np.int64(54), np.int64(40))",-144180,4837
2024-12-02 10:35:29,"('Retrieve', 19)","(np.int64(1), np.int64(53), np.int64(41))",-148907,4947
2024-12-02 10:35:29,"('Retrieve', 29)","(np.int64(1), np.int64(54), np.int64(39))",-153742,5059
2024-12-02 10:35:30,"('Store', 37)","(np.int64(0), np.int64(54), np.int64(40))",-158745,5115
2024-12-02 10:35:30,"('Store', 38)","(np.int64(0), np.int64(53), np.int64(41))",-163751,5224
2024-12-02 10:35:30,"('Retrieve', 16)","(np.int64(0), np.int64(53), np.int64(40))",-168919,5280
2024-12-02 10:35:30,"('Store', 39)","(np.int64(0), np.int64(53), np.int64(40))",-174144,5335
2024-12-02 10:35:30,"('Store', 40)","(np.int64(1), np.int64(53), np.int64(41))",-179370,5444
2024-12-02 10:35:30,"('Store', 41)","(np.int64(1), np.int64(54), np.int64(39))",-184703,5555
2024-12-02 10:35:30,"('Store', 42)","(np.int64(0), np.int64(55), np.int64(40))",-190146,5667
2024-12-02 10:35:30,"('Retrieve', 41)","(np.int64(1), np.int64(54), np.int64(39))",-195754,5726
2024-12-02 10:35:30,"('Store', 43)","(np.int64(1), np.int64(54), np.int64(39))",-201423,5783
2024-12-02 10:35:30,"('Retrieve', 17)","(np.int64(1), np.int64(54), np.int64(40))",-207148,5841
2024-12-02 10:35:31,"('Store', 44)","(np.int64(1), np.int64(54), np.int64(40))",-212932,5898
2024-12-02 10:35:31,"('Retrieve', 32)","(np.int64(0), np.int64(52), np.int64(41))",-218773,5955
2024-12-02 10:35:31,"('Store', 45)","(np.int64(0), np.int64(52), np.int64(41))",-224674,6009
2024-12-02 10:35:31,"('Store', 46)","(np.int64(0), np.int64(53), np.int64(42))",-230576,6116
2024-12-02 10:35:31,"('Store', 47)","(np.int64(1), np.int64(53), np.int64(38))",-236583,6225
2024-12-02 10:35:31,"('Store', 48)","(np.int64(1), np.int64(51), np.int64(40))",-242700,6333
2024-12-02 10:35:31,"('Retrieve', 46)","(np.int64(0), np.int64(53), np.int64(42))",-248975,6391
2024-12-02 10:35:31,"('Store', 49)","(np.int64(0), np.int64(53), np.int64(42))",-255311,6446
2024-12-02 10:35:31,"('Store', 50)","(np.int64(1), np.int64(55), np.int64(40))",-261646,6557
2024-12-02 10:35:32,"('Store', 51)","(np.int64(1), np.int64(53), np.int64(42))",-268091,6669
2024-12-02 10:35:32,"('Store', 52)","(np.int64(0), np.int64(52), np.int64(38))",-274652,6777
2024-12-02 10:35:32,"('Store', 53)","(np.int64(0), np.int64(54), np.int64(38))",-281321,6885
2024-12-02 10:35:32,"('Store', 54)","(np.int64(0), np.int64(51), np.int64(39))",-288099,6992
2024-12-02 10:35:32,"('Retrieve', 31)","(np.int64(1), np.int64(52), np.int64(41))",-295033,7050
2024-12-02 10:35:32,"('Store', 55)","(np.int64(1), np.int64(52), np.int64(41))",-302028,7105
2024-12-02 10:35:32,"('Store', 56)","(np.int64(0), np.int64(55), np.int64(39))",-309023,7215
2024-12-02 10:35:32,"('Store', 57)","(np.int64(0), np.int64(51), np.int64(41))",-316130,7323
2024-12-02 10:35:33,"('Store', 58)","(np.int64(0), np.int64(55), np.int64(41))",-323345,7431
2024-12-02 10:35:33,"('Retrieve', 56)","(np.int64(0), np.int64(55), np.int64(39))",-330717,7490
2024-12-02 10:35:33,"('Store', 59)","(np.int64(0), np.int64(55), np.int64(39))",-338150,7547
2024-12-02 10:35:33,"('Retrieve', 25)","(np.int64(0), np.int64(54), np.int64(41))",-345639,7605
2024-12-02 10:35:33,"('Store', 60)","(np.int64(0), np.int64(54), np.int64(41))",-353188,7661
2024-12-02 10:35:33,"('Store', 61)","(np.int64(0), np.int64(52), np.int64(42))",-360741,7769
2024-12-02 10:35:33,"('Store', 62)","(np.int64(0), np.int64(54), np.int64(42))",-368402,7877
2024-12-02 10:35:33,"('Store', 63)","(np.int64(1), np.int64(52), np.int64(38))",-376170,7986
2024-12-02 10:35:33,"('Store', 64)","(np.int64(1), np.int64(54), np.int64(38))",-384046,8096
